chapter,fig_number,id,plot_type,title
01,0,handedlr,AgeCat,Handedness.
01,1,genderhandedr,AgeCat,"Handedness in women and men, by age."
01,2,genderhandedl,AgeCat,"Strict left handedness in women and men, by age."
01,3,ambihanded,AgeCat,
02,0,handedpredictionrl,Bars,
02,1,handedscorel,XY,
02,2,handedscorer,XY,
02,3,handedscorebn,XY,
02,4,handedpredictionbn,Bars,
02,5,handswitched,AgeCat,
03,0,fhandssex,AgeCat,
03,1,mhandssex,AgeCat,
03,2,mhandofb,AgeCat,
03,3,fhandomb,AgeCat,
04,0,womensearnings,XY,"Women's income as a percentage of men's income, by age and year."
05,0,children,AgeAvg,
05,1,married,AgeCat,
05,2,marriedid,AgeCat,
05,3,polynotnonmonog,AgeCat,
05,4,polyfm,AgeCat,
05,5,fpolynonmonog,AgeCat,
05,6,monogabcd,AgeCat,
07,0,hetero,AgeCat,
07,1,nsexattr,AgeCat,
07,2,ace,AgeCat,
07,3,arom,AgeCat,
08,0,lgbtqrainbow,AgeCat,
08,1,lgbtqbi,AgeCat,
08,2,bi,AgeCat,
08,3,demi,AgeCat,
08,4,lg,AgeCat,
08,5,lgexclssa,AgeCat,
08,6,exclssa,AgeCat,
09,0,queer,AgeCat,
09,1,queerlg,AgeCat,
09,2,queerbi,AgeCat,
10,0,nxorthey,AgeCat,
10,1,gqgfnb,AgeCat,
10,2,nb,AgeCat,
11,0,intersex,AgeCat,
12,0,intersexaab,AgeCat,
13,0,intersextrans,AgeCat,
13,1,transaab,AgeCat,
13,2,flipaab,AgeCat,
13,3,intersextransaab,AgeCat,
14,0,genderpredictionmf,Bars,
14,1,genderpredictionbn,Bars,
14,2,genderpredfpca1,Bars,
14,3,gendercomponent1,Histogram,
14,4,genderpca3,PCA,
14,5,genderpca2,PCA,
14,6,makeup,AgeCat,
14,7,eyeshadow,AgeCat,
14,8,menlikeglasses,AgeCat,
14,9,womenlikeglasses,AgeCat,
14,10,menbadvision,AgeCat,
14,11,beard,AgeCat,
15,0,flipped,AgeCat,
15,1,contradictions,AgeCat,
16,0,urbanization,XY,
16,1,cumpoparea,XY,
16,2,urqueer,AgeCat,
16,3,urheteronorm,AgeCat,
16,4,urhomoqueer,AgeCat,
16,5,urnonmonog,AgeCat,
16,6,urpoly,AgeCat,
16,7,urgaybi,AgeCat,
16,8,urlesbianbi,AgeCat,
16,9,urhomo,AgeCat,
16,10,urnb,AgeCat,
16,11,urintersexfb,AgeCat,
16,12,urintersexmb,AgeCat,
17,0,urbliberal,DensityCat,
17,1,urbconservative,DensityCat,
17,2,urbrace,DensityCat,
17,3,president,DensityCat,
17,4,urbchildren,DensityAvg,
17,5,urbage,DensityAvg,
17,6,urbmuslimjewish,DensityCat,
17,7,yearblacklives,YearDensityCat,
17,8,yearclimate,YearDensityCat,
17,9,yearxeno,YearDensityCat,
17,10,yearhomwrong,YearDensityCat,
17,11,yeargun,YearDensityCat,
18,0,urmarried,AgeCat,
18,1,urchildren,AgeAvg,
18,2,population,XY,
